received_on,operator,volunteer,event_type,response_date,age,sex,duration,location,location_slug,location_type,latitude,longitude,topics_list,topics_count,topic_A1,topic_A2,topic_B1,topic_B2,topic_B3,topic_B4,topic_C1,topic_C2,topic_D1,topic_D2,topic_D3,topic_E1,topic_E10,topic_E2,topic_E3,topic_E4,topic_E5,topic_E6,topic_E7,topic_E8,topic_E9,topic_F1,topic_F10,topic_F11,topic_F12,topic_F2,topic_F3,topic_F4,topic_F5,topic_F6,topic_F7,topic_F8,topic_F9,topic_G1,topic_H1,topic_H2,topic_H3
2013-11-01T10:42:42.420000,orange,sos,RING,2013-11-01T10:42:00,,U,0,,,,,,H3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
2013-11-02T15:51:19.505000,orange,sos,RING,2013-11-03T13:21:00,38,M,2,SEBENINKORO,91094667,village,,,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-11-02T15:48:53.431000,orange,sos,RING,2013-11-03T13:15:00,23,M,48,,,,,,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-02T15:37:54.956000,orange,sos,RING,2013-11-03T13:09:00,28,M,3,SÉGOU,40000000,region,,,E8,1,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
2013-11-02T15:32:19.418000,orange,sos,RING,2013-11-03T13:05:00,,U,0,,,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-11-02T15:06:19,orange,sos,CALL_ME,2013-11-03T13:04:00,3,M,3,ABARADJO,61091001,village,16.78,-3.01,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-02T14:42:29.942000,orange,sos,RING,2013-11-03T13:00:00,21,F,4,NIAMANA,25029582,village,12.56,-7.86,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-02T13:20:26,orange,sos,RING,2013-11-03T12:53:00,18,M,4,NIORO-MADINA,16091761,village,15.17,-9.6,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-11-02T13:14:23,orange,sos,CALL_ME,2013-11-03T12:44:00,18,M,2,SINKOROKORO,25001776,village,12.77,-7.68,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-11-02T12:36:18.908000,orange,sos,RING,2013-11-03T12:36:00,18,U,0,,,,,,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-02T12:08:07.298000,orange,sos,RING,2013-11-03T12:08:00,18,U,0,,,,,,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-02T11:53:17.015000,orange,sos,RING,2013-11-03T12:40:00,34,M,1,1E QUARTIER (CM),71091001,village,,,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-03T11:41:34.643000,orange,sos,RING,2013-11-03T12:30:00,20,F,3,COMMUNE URBAINE DE KOULIKORO,21091000,commune,,,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-11-02T10:48:30.305000,orange,sos,RING,2013-11-03T12:35:00,20,M,4,KALABANCOURA,91095397,village,,,E5,1,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
2013-11-02T10:46:29,orange,sos,CALL_ME,2013-11-02T12:25:00,,U,0,,,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-11-02T10:16:32,orange,sos,CALL_ME,2013-11-02T10:16:00,18,M,3,BOKOSSONI,46052001,village,13.25,-4.87,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-02T09:45:16.548000,orange,sos,RING,2013-11-03T11:40:00,41,M,3,KOLIMA,45029496,village,15.38,-5.48,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-02T09:27:37.693000,orange,sos,RING,2013-11-03T11:35:00,31,M,2,SABALIBOUGOU,91095694,village,,,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-02T08:56:35,orange,sos,CALL_ME,2013-11-02T11:33:00,,U,0,,,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-11-02T08:15:44,orange,sos,CALL_ME,2013-11-03T08:15:00,,U,0,,,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-11-02T08:07:15.428000,orange,sos,RING,2013-11-03T11:27:00,25,M,1,HAMDALLAYE,91094223,village,,,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-03T07:39:01,orange,sos,CALL_ME,2013-11-03T07:39:00,,U,0,,,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-11-01T22:53:52,orange,sos,SMS_HOTLINE,2013-11-01T22:53:00,,U,0,,,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-11-01T22:56:07,orange,sos,SMS_HOTLINE,2013-11-01T10:50:00,22,M,1,MEDINA-COURA,91092451,village,,,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-11-02T21:37:00,orange,sos,SMS_HOTLINE,2013-11-03T12:58:00,44,F,1,HIPPODROME,91092361,village,,,H3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
2013-11-02T20:26:51.041000,orange,sos,RING,2013-11-03T13:02:00,28,M,2,COMMUNE DE TOMBOUCTOU,61091000,commune,,,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-03T10:14:29.198000,orange,sos,RING,2013-11-03T13:14:00,28,M,2,ABARADJO,61091001,village,16.78,-3.01,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-03T10:19:40,orange,sos,CALL_ME,2013-11-03T13:05:00,32,M,2,MISSABOUGOU,91096397,village,,,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-11-03T10:34:10.631000,orange,sos,RING,2013-11-03T13:09:00,35,M,2,SABALIBOUGOU,91095694,village,,,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-11-02T11:35:51.604000,orange,sos,RING,2013-11-03T10:27:00,20,F,3,FASSA,21023271,village,13.18,-7.67,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-11-03T12:57:03,orange,sos,CALL_ME,2013-11-03T09:02:00,,U,1,,,,,,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-03T14:08:20.414000,orange,sos,RING,2013-11-03T14:08:00,,U,0,,,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-11-03T11:37:53.840000,malitel,sos,RING,2013-11-03T11:37:00,,U,0,,,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-11-03T11:59:39.226000,malitel,sos,RING,2013-11-03T09:07:00,19,M,1,DAG-DAG,11016167,village,14.59,-11.43,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-03T12:59:30,malitel,sos,SMS_HOTLINE,2013-11-03T09:09:00,21,F,7,NIAMAKORO,91096496,village,,,"E6, E9, F1",3,,,,,,,,,,,,,,,,,,true,,,true,true,,,,,,,,,,,,,,,
2013-11-02T22:30:14.637000,malitel,sos,RING,2013-11-03T10:33:00,,U,0,,,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-11-03T13:02:44.741000,malitel,sos,RING,2013-11-03T10:34:00,,U,0,,,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-11-03T13:19:50.956000,malitel,sos,RING,2013-11-03T09:22:00,23,M,2,BADALABOUGOU,91095100,village,,,E8,1,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
2013-11-03T17:07:24.944000,malitel,sos,RING,2013-11-03T17:07:00,,U,0,,,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-11-03T18:05:40.157000,malitel,sos,RING,2013-11-03T18:05:00,,U,0,,,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-11-03T22:43:38.036000,malitel,sos,RING,2013-11-03T22:43:00,,U,0,,,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-11-03T17:51:19.855000,orange,sos,RING,2013-11-04T09:27:00,25,M,3,DJECOUNANDI OURO,65056163,village,15.64,-3.87,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-03T19:41:35.396000,orange,sos,RING,2013-11-04T09:32:00,35,M,1,DIELIBOUGOU,91091223,village,,,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-03T19:46:15.491000,orange,sos,RING,2013-11-04T09:36:00,23,M,2,BACO-DJIKORONI,91095001,village,,,E8,1,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
2013-11-03T19:46:23.790000,orange,sos,RING,2013-11-03T19:46:00,,U,0,,,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-11-01T22:53:45.533000,malitel,sos,RING,2013-11-03T12:16:00,20,M,3,BANDIAGARA,52091001,village,14.35,-3.61,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-02T19:34:04.301000,orange,sos,RING,2013-11-03T12:49:00,21,M,1,SEBENINKORO,91094667,village,,,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-11-02T14:36:25,malitel,sos,SMS_HOTLINE,2013-11-03T13:04:00,20,M,1,FADJIGUILA,91091445,village,,,"E3, E4",2,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,
2013-11-02T21:06:49.953000,malitel,sos,RING,2013-11-03T12:57:00,21,M,1,BOUGOUNI,32000000,cercle,,,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-02T21:36:27.168000,malitel,sos,RING,2013-11-03T13:00:00,20,M,1,DIO-VILLAGE,25019249,village,12.82,-8.27,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
